NeotomaTaxonName,MHVar.2
Fraxinus undiff.,Fraxinus
Fritillaria,Liliaceae-type
Fritillaria-type,Liliaceae-type
Fritillaria lusitanica,Liliaceae-type
Fumana,Fumana
Fumana-type,Fumana
Fumaria,Fumaria
Fumaria-type,Fumaria
Gagea,Liliaceae-type
Gagea-type,Liliaceae-type
Gagea nevadensis,Liliaceae-type
Gagea/Tulipa,Liliaceae-type
Galanthus-type,Liliaceae-type
Galega-type,Galega-type
Galeopsis,Galeopsis/Ballota-type
Galeopsis-type,Galeopsis/Ballota-type
Galium,Rubiaceae
Galium-type,Rubiaceae
Galium aparine,Rubiaceae
Genista,Genista-group
Genista-type,Genista-group
Genista/Ulex,Genista-group
Genista/Ulex-type,Genista-group
Gentiana,Gentianaceae
Gentiana-type,Gentianaceae
Gentiana asclepiadea-type,Gentianaceae
Gentiana campestris,Gentianaceae
Gentiana cruciata,Gentianaceae
Gentiana lutea,Gentianaceae
Gentiana lutea-type,Gentianaceae
Gentiana lutea/G. pneumonanthe,Gentianaceae
Gentiana nivalis,Gentianaceae
Gentiana nivalis-type,Gentianaceae
Gentiana pneumonanthe,Gentianaceae
Gentiana pneumonanthe-type,Gentianaceae
Gentiana punctata,Gentianaceae
Gentiana purpurea-type,Gentianaceae
Gentiana verna,Gentianaceae
Gentiana verna-type,Gentianaceae
Gentianaceae,Gentianaceae
Gentianaceae undiff.,Gentianaceae
Gentianella,Gentianaceae
Gentianella-type,Gentianaceae
Gentianella campestris,Gentianaceae
Gentianella campestris-type,Gentianaceae
Gentianella detonsa,Gentianaceae
Gentianella tenella-type,Gentianaceae
Geraniaceae,Geraniaceae
Geranium,Geraniaceae
Geranium-type,Geraniaceae
Geranium phaeum-type,Geraniaceae
Geranium pratense-type,Geraniaceae
Geranium pratense group,Geraniaceae
Geranium sylvaticum,Geraniaceae
Geranium sylvaticum-type,Geraniaceae
Geum,Geum-type
Geum-type,Geum-type
Geum cf. G. rivale,Geum-type
Geum cf. G. urbanum,Geum-type
Geum montanum-type,Geum-type
Geum rivale,Geum-type
Gladiolus,Liliaceae-type
Gladiolus-type,Liliaceae-type
Glaucium,Glaucium
Glaucium-type,Glaucium
Glaux,Anagallis-type
Glaux maritima,Anagallis-type
Glechoma-type,Labiatae (6)
Globularia,Globularia
Glyceria,Poaceae
Glyceria-type,Poaceae
Gnaphalium,Compositae subfam. Asteroideae
Gnaphalium-type,Compositae subfam. Asteroideae
Gossypium,Malvaceae
Gratiola officinalis,Gratiola officinalis
Gypsophila,Caryophyllaceae (periporate excl. Paronychioideae)
Gypsophila-type,Caryophyllaceae (periporate excl. Paronychioideae)
Gypsophila fastigiata,Caryophyllaceae (periporate excl. Paronychioideae)
Gypsophila fastigiata-type,Caryophyllaceae (periporate excl. Paronychioideae)
Gypsophila muralis,Caryophyllaceae (periporate excl. Paronychioideae)
Gypsophila repens-type,Caryophyllaceae (periporate excl. Paronychioideae)
Halimium,Halimium
Halimium-type,Halimium
Halimium halimifolium-type,Halimium
Halimium/Tuberaria,Cistaceae
Halothamnus-type,Chenopodiaceae/Amaranthaceae
Hedera,Hedera
Hedera-type,Hedera
Hedera helix,Hedera
Hedera helix-type,Hedera
Hedysarum,Onobrychis-type
Hedysarum-type,Onobrychis-type
Hedysarum cf. H. hedysaroides,Onobrychis-type
Hedysarum hedysaroides,Onobrychis-type
Hedysarum/Ebenus,Onobrychis-type
Helianthemum,Helianthemum
Helianthemum-type,Helianthemum
Helianthemum canum-type,Helianthemum
Helianthemum cf. H. canum,Helianthemum
Helianthemum nummularium,Helianthemum
Helianthemum nummularium-type,Helianthemum
Helianthemum oelandicum-type,Helianthemum
Helianthemum oelandicum subsp. alpestris-type,Helianthemum
Helianthemum undiff.,Helianthemum
Helianthus-type,Compositae subfam. Asteroideae
Heliotropium,Heliotropium
Heliotropium-type,Heliotropium
Helleborus,Helleborus
Helleborus-type,Helleborus
Helleborus foetidus,Helleborus
Helleborus undiff.,Helleborus
Helleborus viridis,Helleborus
Helleborus viridis-type,Helleborus
Heracleum,Apiaceae
Heracleum-type,Apiaceae
Heracleum sphondylium,Apiaceae
Heracleum sphondylium-type,Apiaceae
Heracleum undiff.,Apiaceae
Herniaria,Caryophyllaceae subfam. Paronychioideae
Herniaria-type,Caryophyllaceae subfam. Paronychioideae
Herniaria glabra-type,Caryophyllaceae subfam. Paronychioideae
Hieracium-type,Compositae subfam. Cichorioideae
Hippocrepis,Coronilla-type
Hippocrepis-type,Coronilla-type
Hippopha�,Hippophae rhamnoides
Hippopha� rhamnoides,Hippophae rhamnoides
Holosteum umbellatum,Caryophyllaceae (periporate excl. Paronychioideae)
Homogyne,Compositae subfam. Asteroideae
Homogyne-type,Compositae subfam. Asteroideae
Homogyne alpina,Compositae subfam. Asteroideae
Hordelymus,Poaceae
Hordeum,Poaceae
Hordeum-type,Poaceae
Hordeum vulgare-type,Poaceae
Hordeum/Secale,Poaceae
Hordeum/Triticum-type,Poaceae
Hornungia,Brassicaceae
Hornungia-type,Brassicaceae
Humulus,Cannabis/Humulus
Humulus-type,Cannabis/Humulus
Humulus lupulus,Cannabis/Humulus
Humulus lupulus-type,Cannabis/Humulus
Humulus/Cannabis,Cannabis/Humulus
Humulus/Cannabis-type,Cannabis/Humulus
Humulus/Urtica,Cannabaceae/Urticaceae
Hyoscyamus,Hyoscyamus
Hypecoum,Hypecoum
Hypericaceae,Hypericum
Hypericum,Hypericum
Hypericum-type,Hypericum
Hypericum androsaemum,Hypericum
Hypericum calycinum-type,Hypericum
Hypericum elodes,Hypericum
Hypericum perforatum,Hypericum
Hypericum perforatum-type,Hypericum
Hypericum perforatum group,Hypericum
Hypericum perforatum/H. androsaemum-type,Hypericum
Hypericum pulchrum-type,Hypericum
Hypericum undiff.,Hypericum
Ilex,Ilex
Ilex-type,Ilex
Ilex aquifolium,Ilex
Ilex aquifolium-type,Ilex
Illecebrum,Caryophyllaceae subfam. Paronychioideae
Impatiens,Impatiens
Impatiens noli-tangere,Impatiens
Impatiens parviflora,Impatiens
Inula,Compositae subfam. Asteroideae
Inula-type,Compositae subfam. Asteroideae
Iridaceae,Liliaceae-type
Iridaceae/Amaryllidaceae,Liliaceae-type
Iris,Liliaceae-type
Iris-type,Liliaceae-type
Iris pseudacorus,Liliaceae-type
Iris pseudacorus-type,Liliaceae-type
Jasione,Campanulaceae
Jasione-type,Campanulaceae
Jasione montana,Campanulaceae
Jasione montana-type,Campanulaceae
Jasminum,Jasminum
Juglandaceae,Juglandaceae
Juglandaceae-type,Juglandaceae
Juglans,Juglans
Juglans-type,Juglans
Juglans nigra,Juglans
Juglans regia,Juglans
Juncaceae,Juncaceae
Juniperus,Juniperus-type
Juniperus-type,Juniperus-type
Juniperus communis,Juniperus-type
Juniperus sabina,Juniperus-type
Jurinea,Cynareae
Jurinea-type,Cynareae
Kickxia,Scrophulariaceae (colporate-reticulate)
Knautia,Dipsacaceae
Knautia-type,Dipsacaceae
Knautia arvensis,Dipsacaceae
Knautia arvensis-type,Dipsacaceae
Knautia/Dipsacus,Dipsacaceae
Koenigia,Koenigia islandica
Koenigia alpina,Polygonum alpinum
Koenigia alpina-type,Polygonum alpinum
Koenigia islandica,Koenigia islandica
Lactuca,Compositae subfam. Cichorioideae
Lactuca-type,Compositae subfam. Cichorioideae
Lactuca sativa-type,Compositae subfam. Cichorioideae
Lamiaceae,Lamiaceae
Lamiaceae (hexacolpate),Labiatae (6)
Lamiaceae pro parte,Lamiaceae
Lamiaceae undiff.,Lamiaceae
Lamium,Lamium album-type
Lamium-type,Lamium album-type
Lamium album,Lamium album-type
Lamium album-type,Lamium album-type
Larix,Larix/Pseudotsuga
Larix-type,Larix/Pseudotsuga
Larix decidua,Larix/Pseudotsuga
Larix decidua-type,Larix/Pseudotsuga
Laserpitium,Apiaceae
Laserpitium latifolium-type,Apiaceae
Laserpitium prutenicum,Apiaceae
Lathraea,Rhinanthus-group
Lathyrus,Lathyrus/Vicia-type
Lathyrus-type,Lathyrus/Vicia-type
Lathyrus palustris,Lathyrus/Vicia-type
Laurus,Laurus
Lavandula,Labiatae (6)
Lavandula-type,Labiatae (6)
Lavandula stoechas-type,Labiatae (6)
Legousia,Campanulaceae
Leontice leontopetalum,Leontice
Leucojum,Liliaceae-type
Levisticum officinale-type,Apiaceae
Ligusticum,Apiaceae
Ligusticum mutellina,Apiaceae
Ligusticum mutellinoides-type,Apiaceae
Ligustrum,Ligustrum-type
Ligustrum-type,Ligustrum-type
Ligustrum vulgare,Ligustrum-type
Ligustrum vulgare-type,Ligustrum-type
Liliaceae,Liliaceae-type
Liliaceae-type,Liliaceae-type
Liliaceae-type undiff.,Liliaceae-type
Liliaceae pro parte,Liliaceae-type
Liliaceae undiff.,Liliaceae-type
Lilium,Liliaceae-type
Lilium-type,Liliaceae-type
Lilium martagon,Liliaceae-type
Lilium martagon-type,Liliaceae-type
Limonium,Plumbaginaceae
Limonium-type,Plumbaginaceae
Limonium vulgare,Plumbaginaceae
Limonium vulgare (type A),Plumbaginaceae
Limosella,Scrophulariaceae (colporate-reticulate)
Linaceae undiff.,Linaceae
Linaria,Scrophulariaceae (colporate-reticulate)
Linaria-type,Scrophulariaceae (colporate-reticulate)
Linnaea borealis,Linnaea borealis
Linum,Linum
Linum alpinum-type,Linum
Linum austriacum-type,Linum
Linum bienne-type,Linum
Linum catharticum,Linum
Linum catharticum-type,Linum
Linum undiff.,Linum
Linum usitatissimum,Linum
Linum usitatissimum-type,Linum
Listera,Orchidaceae
Listera-type,Orchidaceae
Lithospermum,Boraginaceae
Lithospermum-type,Boraginaceae
Lithospermum officinale,Boraginaceae
Lloydia serotina,Liliaceae-type
Lobelia,Lobelia
Lobelia-type,Lobelia
Lobelia dortmanna,Lobelia
Lomelosia graminifolia,Dipsacaceae
Lomelosia rotata-type,Dipsacaceae
Lonicera,Lonicera
Lonicera-type,Lonicera
Lonicera alpigena,Lonicera
Lonicera caerulea,Lonicera
Lonicera nigra,Lonicera
Lonicera nigra-type,Lonicera
Lonicera periclymenum,Lonicera
Lonicera periclymenum-type,Lonicera
Lonicera xylosteum,Lonicera
Lonicera xylosteum-type,Lonicera
Loranthaceae,Loranthaceae
Loranthus,Loranthus europaeus
Loranthus europaeus,Loranthus europaeus
Lotus,Lotus-type
Lotus-type,Lotus-type
Lotus cf. L. corniculatus,Lotus-type
Lotus corniculatus,Lotus-type
Ludwigia palustris,Onagraceae
Luzula,Juncaceae
Lycium,Lycium
Lycium-type,Lycium
Lycopsis arvensis,Anchusa arvensis-type
Lycopsis arvensis-type,Anchusa arvensis-type
Lycopus,Labiatae (6)
Lycopus-type,Labiatae (6)
Lycopus europaeus,Labiatae (6)
Lycopus/Mentha,Labiatae (6)
Lycopus/Mentha longifolia,Labiatae (6)
Lygeum,Poaceae
Lygeum spartum,Poaceae
Lysimachia,Anagallis-type
Lysimachia-type,Anagallis-type
Lysimachia ephemerum,Anagallis-type
Lysimachia nemorum,Anagallis-type
Lysimachia nummularia,Anagallis-type
Lysimachia terrestris/L. thyrsiflora,Anagallis-type
Lysimachia thyrsiflora,Anagallis-type
Lysimachia vulgaris,Anagallis-type
Lysimachia vulgaris-type,Anagallis-type
Lythraceae,Lythrum
Lythraceae undiff.,Lythrum
Lythrum,Lythrum
Lythrum-type,Lythrum
Lythrum portula,Lythrum
Lythrum portula-type,Lythrum
Lythrum salicaria,Lythrum
Lythrum salicaria-type,Lythrum
Lythrum undiff.,Lythrum
Magnolia-type,Magnolia-type
Magnoliaceae undiff.,Magnolia-type
Maianthemum-type,Liliaceae-type
Maianthemum bifolium,Liliaceae-type
Maianthemum/Paris,Liliaceae-type
Malabaila,Apiaceae
Malus,Rosaceae (non-operculate)
Malus-type,Rosaceae (non-operculate)
Malva,Malvaceae
Malva-type,Malvaceae
Malva sylvestris-type,Malvaceae
Malvaceae,Malvaceae
Marrubium,Marrubium
Marrubium-type,Marrubium
Matricaria,Compositae subfam. Asteroideae
Matricaria-type,Compositae subfam. Asteroideae
Matthiola,Brassicaceae
Matthiola-type,Brassicaceae
Medicago,Medicago sativa-type
Medicago falcata-type,Medicago sativa-type
Medicago lupulina-type,Genista-group
Medicago sativa,Medicago sativa-type
Medicago sativa-type,Medicago sativa-type
Melampyrum,Melampyrum
Melampyrum-type,Melampyrum
Melampyrum pratense,Melampyrum
Melilotus,Astragalus-type
Melilotus-type,Astragalus-type
Melilotus officinalis,Astragalus-type
Mentha,Labiatae (6)
Mentha-type,Labiatae (6)
Mercurialis,Mercurialis
Mercurialis-type,Mercurialis
Mercurialis annua,Mercurialis
Mercurialis annua-type,Mercurialis
Mercurialis cf. M. ovata,Mercurialis
Mercurialis perennis,Mercurialis
Mercurialis perennis-type,Mercurialis
Mercurialis undiff.,Mercurialis
Mesembryanthemum,Mesembryanthemum
Meum-type,Apiaceae
Meum athamanticum,Apiaceae
Meum athamanticum-type,Apiaceae
Micranthes cf. M. stellaris,Saxifraga
Micranthes nivalis,Saxifraga
Micranthes nivalis-type,Saxifraga
Micranthes stellaris,Saxifraga
Micranthes stellaris-type,Saxifraga
Microrrhinum minus,Scrophulariaceae (colporate-reticulate)
Minuartia-type,Caryophyllaceae (periporate excl. Paronychioideae)
Minuartia recurva,Caryophyllaceae (periporate excl. Paronychioideae)
Minuartia rubra-type,Caryophyllaceae (periporate excl. Paronychioideae)
Minuartia verna-type,Caryophyllaceae (periporate excl. Paronychioideae)
Moehringia-type,Caryophyllaceae (periporate excl. Paronychioideae)
Moehringia trinervia-type,Caryophyllaceae (periporate excl. Paronychioideae)
Moehringia trinervia group,Caryophyllaceae (periporate excl. Paronychioideae)
Monotropa,Monotropa hypopitys
Monotropa hypopitys,Monotropa hypopitys
Montia,Portulaca/Montia
Montia fontana,Portulaca/Montia
Montia fontana-type,Portulaca/Montia
Moraceae,Urticaceae/Moraceae
Morus,Urticaceae/Moraceae
Morus-type,Urticaceae/Moraceae
Morus alba,Urticaceae/Moraceae
Muscari,Liliaceae-type
Muscari-type,Liliaceae-type
Myosotis,Myosotis-type
Myosotis arvensis,Myosotis-type
Myosotis arvensis-type,Myosotis-type
Myrica,Corylus/Myrica
Myrica-type,Corylus/Myrica
Myrica gale,Corylus/Myrica
Myricaceae,Corylus/Myrica
Myricaria,Myricaria germanica
Myricaria-type,Myricaria germanica
Myricaria germanica,Myricaria germanica
Myricaria germanica-type,Myricaria germanica
Myrrhis-type,Apiaceae
Myrtaceae,Myrtaceae
Myrtus,Myrtaceae
Myrtus communis,Myrtaceae
Myrtus/Eucalyptus,Myrtaceae
Narcissus,Liliaceae-type
Narcissus-type,Liliaceae-type
Narcissus bulbocodium,Liliaceae-type
Narcissus poeticus-type,Liliaceae-type
Narcissus pseudonarcissus-type,Liliaceae-type
Narthecium,Liliaceae-type
Narthecium-type,Liliaceae-type
Narthecium ossifragum,Liliaceae-type
Narthecium ossifragum-type,Liliaceae-type
Neatostema apulum,Boraginaceae
Nerium oleander,Nerium oleander
Nicotiana,Nicotiana
Nigella,Nigella
Nigella-type,Nigella
Nigella arvensis-type,Nigella
Noaea-type,Chenopodiaceae/Amaranthaceae
Nonea,Boraginaceae
Odontites,Odontites-type
Odontites-type,Odontites-type
Odontites/Euphrasia,Rhinanthus-group
Oenanthe fistulosa-type,Apiaceae
Oenothera,Onagraceae
Olea,Olea europaea
Olea-type,Olea europaea
Olea europaea,Olea europaea
Oleaceae,Oleaceae
Oleaceae undiff.,Oleaceae
Onagraceae,Onagraceae
Onobrychis,Onobrychis-type
Onobrychis-type,Onobrychis-type
Onobrychis viciifolia,Onobrychis-type
Ononis,Astragalus-type
Ononis-type,Astragalus-type
Onopordum,Cynareae
Onopordum acanthium,Cynareae
Onosma,Echium/Onosma
Onosma-type,Echium/Onosma
Orchidaceae,Orchidaceae
Origanum/Thymus,Labiatae (6)
Orlaya,Apiaceae
Orlaya grandiflora,Apiaceae
Ornithogalum-type,Liliaceae-type
Ornithogalum umbellatum-type,Liliaceae-type
Ornithopus,Ornithopus
Orthilia,Orthilia
Oryza-type,Poaceae
Ostrya,Ostrya/Carpinus orientalis
Ostrya-type,Ostrya/Carpinus orientalis
Ostrya carpinifolia,Ostrya/Carpinus orientalis
Ostrya carpinifolia/Carpinus orientalis,Ostrya/Carpinus orientalis
Ostrya/Carpinus,Ostrya/Carpinus orientalis
Ostrya/Carpinus orientalis,Ostrya/Carpinus orientalis
Oxalidaceae,Oxalis
Oxalis,Oxalis
Oxalis-type,Oxalis
Oxalis acetosella,Oxalis
Oxyria,Rumex/Oxyria
Oxyria-type,Rumex/Oxyria
Oxyria (type 1),Rumex/Oxyria
Oxyria (type 2),Rumex/Oxyria
Oxyria digyna,Rumex/Oxyria
Oxyria digyna-type,Rumex/Oxyria
Paliurus,Rhamnaceae
Panicum-type,Poaceae
Papaver,Papaver
Papaver-type,Papaver
Papaver argemone,Roemeria-type
Papaver argemone-type,Roemeria-type
Papaver dubium,Papaver
Papaver radicatum-type,Papaver
Papaver rhoeas-type,Papaver
Papaveraceae,Papaver
Papaveraceae undiff.,Papaver
Paradisea liliastrum,Liliaceae-type
Parentucellia-type,Rhinanthus-group
Parietaria,Urticaceae/Moraceae
Paris,Liliaceae-type
Paris-type,Liliaceae-type
Parnassia,Parnassia palustris
Parnassia-type,Parnassia palustris
Parnassia palustris,Parnassia palustris
Paronychia,Caryophyllaceae subfam. Paronychioideae
Paronychia-type,Caryophyllaceae subfam. Paronychioideae
Paronychia polygonifolia-type,Caryophyllaceae subfam. Paronychioideae
Pastinaca sativa,Apiaceae
Pedicularis,Pedicularis
Pedicularis-type,Pedicularis
Pedicularis palustris,Pedicularis
Pedicularis palustris-type,Pedicularis
Pedicularis sylvatica,Pedicularis
Pedicularis verticillata-type,Pedicularis
Pentaglottis sempervirens,Boraginaceae
Penthorum sedoides,Penthorum sedoides
Persicaria,Polygonum (pericolpate/periporate)
Persicaria amphibia,Polygonum (pericolpate/periporate)
Persicaria amphibia-type,Polygonum (pericolpate/periporate)
Persicaria cf. P. maculosa,Polygonum (pericolpate/periporate)
Persicaria lapathifolia,Polygonum (pericolpate/periporate)
Persicaria lapathifolia-type,Polygonum (pericolpate/periporate)
Persicaria maculosa,Polygonum (pericolpate/periporate)
Persicaria maculosa-type,Polygonum (pericolpate/periporate)
Petasites,Compositae subfam. Asteroideae
Petasites-type,Compositae subfam. Asteroideae
Peucedanum,Apiaceae
Peucedanum-type,Apiaceae
Peucedanum palustre,Apiaceae
Peucedanum palustre-type,Apiaceae
Phillyrea,Phillyrea
Phillyrea latifolia,Phillyrea
Phleum-type,Poaceae
Phlomis,Galeopsis/Ballota-type
Physospermum cornubiense,Apiaceae
