TaxonName,Harmonisation
Clethraceae,Clethraceae
Clethra-type,Clethra
Clibadium,Asteraceae
Clidemia,Melastomataceae
Clidemia comp.,Melastomataceae
Cliffortia,Cliffortia
Cliffortia nitidula,Cliffortia
Cliffortia nitidula-type,Cliffortia
Cliffortia-type,Cliffortia
Closterium,Delete
Closterium cf. C. rostratum,Delete
Closterium idiosporum,Delete
Closterium idiosporum-type,Delete
Closterium undiff.,Delete
Clusia,Clusia
Clusia cochlitheca,Clusia
Clusia criuva,Clusia
Clusiaceae,Clusiaceae
Clusiaceae cf. Hypericum,Hypericaceae
Clusiaceae subf. Hypericoideae,Clusiaceae
Clusiaceae undiff.,Clusiaceae
Clusiaceae/Hypericaceae,Clusiaceae
Clusiaceae/Hypericaceae cf. Hypericum,Clusiaceae
Clusia-type,Clusia
Clusiella,Calophyllaceae
Clusiella sp.,Calophyllaceae
Cluster,Delete
Clutia,Peraceae
Clutia-type,Peraceae
Cmciferae,Brassicaceae
Cnemidaria horrida-type,Delete
Cnemidaria/Cyathea,Delete
Cnestis,Connaraceae
Cnestis-type,Connaraceae
Cnicus,Asteraceae
Cnidium,Apiaceae
Cnidoscolus,Euphorbiaceae
Coccinia,Cucurbitaceae
Coccinia-type,Cucurbitaceae
Coccocypselum,Rubiaceae
Coccocypselum sp.,Rubiaceae
Coccocypselum/Declieuxia,Rubiaceae
Coccoloba,Coccoloba
Coccoloba-type,Coccoloba
Cocculus,Menispermaceae
Cocculus pendulus,Menispermaceae
Cocculus/Pachygone,Menispermaceae
Cochliopodium vestitum,Delete
Cochlospermum,Cochlospermum
Cocos,Cocos
Cocos nucifera,Cocos
Codia,Codia
Codiaeum,Euphorbiaceae
Codiaeum variegatum,Euphorbiaceae
Codonella cratera,Delete
Codoniaceae,Delete
Codonocarpus,Codonocarpus
Codonopsis,Campanulaceae
Codonorchis,Orchidaceae
Coelastrum,Delete
Coelastrum polychordum,Delete
Coelastrum reticulatum,Delete
Coelastrum spp.,Delete
Coffea,Coffea
Coffea-type,Coffea
Coffeeae,Rubiaceae
Cola,Cola
Cola cordifolia,Cola
Cola millenii,Cola
Cola nitida,Cola
Cola nitida-type,Cola
Colchicaceae,Colchicaceae
Colchicum,Colchicaceae
Colchicum autumnale,Colchicaceae
Colchicum autumnale-type,Colchicaceae
Colchicum filifolium,Colchicaceae
Colchicum filifolium-type,Colchicaceae
Colchicum montanum,Colchicaceae
Colchicum/Merendera,Colchicaceae
Colchicum-type,Colchicaceae
Coleogeton,Delete
Coleogyne,Rosaceae
Coleogyne ramosissima,Rosaceae
Colignonia,Nyctaginaceae
Colignonia-type,Nyctaginaceae
Collaea,Fabaceae
Colletia,Rhamnaceae
Collinsia,Plantaginaceae
Collinsia parviflora,Plantaginaceae
Collospermum,Asteliaceae
Collospermum comp.,Asteliaceae
Collotheca sp.,Delete
Colobanthus,Caryophyllaceae
Colobanthus-type,Caryophyllaceae
Colocasia,Araceae
Colocasia esculenta,Araceae
Colombipollis tropicalis,Delete
Colophospermum,Colophospermum
Colophospermum mopane,Colophospermum
Colpothrinax,Colpothrinax
Colubrina,Colubrina
Colutea,Fabaceae
Comandra,Santalaceae
Comandra elegans,Santalaceae
Comandra umbellata,Santalaceae
Comandra umbellata subsp. elegans,Santalaceae
Comarum,Delete
Comarum cf. C. palustre,Delete
Comarum palustre,Delete
Comarum palustre-type,Delete
Comarum-type,Delete
Combretaceae,Combretaceae
Combretaceae undiff.,Combretaceae
Combretaceae/Melastomataceae,Combretaceae
"Combretaceae/Melastomataceae (type 10, Julier & Gosling)",Combretaceae
"Combretaceae/Melastomataceae (type 38, Julier & Gosling)",Combretaceae
"Combretaceae/Melastomataceae (type 4, Julier & Gosling)",Combretaceae
"Combretaceae/Melastomataceae (type 69, Julier & Gosling)",Combretaceae
"Combretaceae/Melastomataceae (types 52, 66, 78, 165, 177, Julier & Gosling)",Combretaceae
Combretaceae/Melastomataceae undiff.,Combretaceae
Combretaceae/Melastomataceae-type,Combretaceae
Combretaceae-type,Combretaceae
Combretum,Combretum
Combretum aculeatum,Combretum
Combretum aculeatum-type,Combretum
Combretum molle,Combretum
Combretum molle-type,Combretum
Combretum-type,Combretum
Comesperma,Polygalaceae
Commelina,Commelinaceae
Commelina benghalensis,Commelinaceae
Commelina benghalensis-type,Commelinaceae
Commelina forskalaei,Commelinaceae
Commelina forskalaei-type,Commelinaceae
Commelina forskaolii,Commelinaceae
Commelina forskaolii-type,Commelinaceae
Commelina forsskaolii,Commelinaceae
Commelina forsskaolii-type,Commelinaceae
Commelinaceae,Commelinaceae
Commelinales,Commelinales
Commelina-type,Commelinaceae
Commelina-type (C. benghalensis),Commelinaceae
Commelina-type (C. forskaolii),Commelinaceae
Commersonia,Commersonia
Commicarpus,Nyctaginaceae
Commicarpus scadens,Nyctaginaceae
Commicarpus-type,Nyctaginaceae
Commiphora,Commiphora
Commiphora africana,Commiphora
Commiphora africana-type,Commiphora
Commiphora edulis subsp. boiviniana-type,Commiphora
Commiphora edulis-type,Commiphora
Commiphora-type,Commiphora
composiate,Asteraceae
Compositae,Asteraceae
Compositae,Asteraceae
Compositae (Aster),Asteraceae
Compositae (high spine),Asteraceae
Compositae (low spine),Asteraceae
Compositae (Youngia),Asteraceae
Compositae lig.,Asteraceae
Compositae subf. Asteroideae,Asteraceae
Compositae subf. Asteroideae undiff.,Asteraceae
Compositae subf. Cichorioideae,Asteraceae
Compositae Subf. Cichorioldeae,Asteraceae
Compositae subf. Liguliflorae,Asteraceae
Compositae subf. Liguliflorae-type,Asteraceae
Compositae subf. Tubuliflorae,Asteraceae
Compositae subf. Tubuliflorae undiff.,Asteraceae
Compositae subf. Tubuliflorae-type,Asteraceae
Compositae tub.,Asteraceae
Compositae undiff.,Asteraceae
Compositaeÿ,Asteraceae
Composite,Asteraceae
Composliae,Asteraceae
Comptonia,Myricaceae
Comptonia peregrina,Myricaceae
Concavissimisporites sp.,Delete
Concentricystes,Delete
Concentricystes+Zegnema,Delete
Concentricystes+Zygnema,Delete
Concentricystis,Delete
Concentrycist,Delete
Condalia,Rhamnaceae
Condalia ericoides,Rhamnaceae
Condalia globosa-type,Rhamnaceae
Condalia warnockii,Rhamnaceae
Condamineeae,Rubiaceae
Condea,Lamiaceae
Condea albida,Lamiaceae
Condea emoryi,Lamiaceae
Condea laniflora,Lamiaceae
Condea tephrodes,Lamiaceae
Condea tomentosa,Lamiaceae
Coniferae,Delete
Coniferae (bisaccate) undiff.,Delete
Coniferae (saccate),Delete
Coniferae undiff.,Delete
Coniferae-type,Delete
Coniferous trees,Delete
Coniferous trees and shrubs,Delete
Coniochaeta,Delete
"Coniochaeta (type 211, TM, cf. C. discospora)",Delete
Coniochaeta cf. C. ligniaria,Delete
"Coniochaeta ligniaria (type 172, HdV)",Delete
Coniochaeta xylariispora,Delete
"Coniochaeta xylariispora (type 6, HdV)",Delete
"Coniochaeta xylariispora (type 6A, HdV)",Delete
Coniogramme,Delete
Coniogramme intermedia,Delete
Conioselinum,Apiaceae
Conioselinum gmelinii,Apiaceae
Conium,Apiaceae
Conium maculatum,Apiaceae
Conium maculatum-type,Apiaceae
Conium-type,Apiaceae
Connaraceae,Connaraceae
Connarus,Connarus
Connarus-type,Connarus
Conocarpus,Conocarpus
Conocarpus erecta,Conocarpus
Conocarpus erectus,Conocarpus
Conocarpus-type,Conocarpus
Conochilus hippocrepis,Delete
Conochilus natans,Delete
Conochilus unicornis,Delete
Conopodium,Apiaceae
Conopodium majus,Apiaceae
Conopodium-type,Apiaceae
Consolida,Ranunculaceae
Consolida ambigua,Ranunculaceae
Consolida ambigua-type,Ranunculaceae
Consolida regalis,Ranunculaceae
Consolida regalis-type,Ranunculaceae
Consolida-type,Ranunculaceae
Conuntro.,Delete
Convallaria,Asparagaceae
Convallaria majalis,Asparagaceae
Convallariaceae,Asparagaceae
Convallaria-type,Asparagaceae
Convolvulaceae,Convolvulaceae
Convolvulaceae (stephanocolpate),Convolvulaceae
Convolvulaceae undiff.,Convolvulaceae
Convolvulus,Convolvulaceae
Convolvulus (large),Convolvulaceae
Convolvulus (many spines),Convolvulaceae
Convolvulus arvensis,Convolvulaceae
Convolvulus arvensis-type,Convolvulaceae
Convolvulus sepium,Convolvulaceae
Convolvulus sepium-type,Convolvulaceae
Convolvulus undiff.,Convolvulaceae
Convolvulus-type,Convolvulaceae
Conyza,Asteraceae
Copaifera,Copaifera
Copaifera aff. C. coriacea,Copaifera
Copaifera guianensis,Copaifera
Copaifera-type,Copaifera
Copepoda,Delete
"Copepoda (type 179, HdV)",Delete
"Copepoda (type 28, HdV)",Delete
Copernicia,Copernicia
Coprosma,Rubiaceae
Coptis,Ranunculaceae
Coptis aspleniifolia,Ranunculaceae
Coptis groenlandica,Ranunculaceae
Coptis trifolia,Ranunculaceae
Coptis-type,Ranunculaceae
Coptosperma-type (C. graveolens),Rubiaceae
Corbichonia,Lophiocarpaceae
Corchorus,Malvaceae
Corchorus-type,Malvaceae
Cordia,Cordia
Cordia africana,Cordia
Cordia africana-type,Cordia
Cordia cf. C. bicolor,Cordia
Cordia cf. C. cylindrostachya,Cordia
Cordia cf. C. lanata,Cordia
Cordia cylindrostachya,Cordia
Cordia cylindrostachya-type,Cordia
Cordia lanata,Cordia
Cordia lanata-type,Cordia
Cordia parvifolia,Cordia
"Cordia/Bourreria (Mauritius type 306, de Boer)",Cordia
Cordia/Bourreria-type,Cordia
"Cordia/Hilsenbergia (Mauritius type 306, de Boer)",Cordia
Cordia/Hilsenbergia-type,Cordia
Cordiaceae,Boraginaceae
Cordia-type,Cordia
Cordiereae,Rubiaceae
Cordyline,Cordyline
Corema,Ericales
Corema album,Ericales
Coreopsideae,Asteraceae
Coreopsis,Asteraceae
Coreopsis-type,Asteraceae
Coriandrum,Apiaceae
Coriandrum sativum,Apiaceae
Coriaria,Coriariaceae
Coriaria arborea,Coriariaceae
Coriaria myrtifolia,Coriariaceae
Coriariaceae,Coriariaceae
Coris,Primulaceae
Corispermum sp.,Amaranthaceae
Cornaceae,Cornaceae
Cornaceae subf. Nyssoideae,Cornaceae
Cornales,Cornales
Cornulaca,Amaranthaceae
Cornulaca/Aerva,Amaranthaceae
Cornus,Cornus
Cornus alternifolia,Cornus
Cornus amomum-type,Cornus
Cornus canadensis,Cornus
Cornus canadensis-type,Cornus
Cornus cf. C. rugosa,Cornus
Cornus cf. C. sanguinea,Cornus
Cornus cf. C. sericea,Cornus
Cornus cf. C. suecica,Cornus
Cornus drummondii,Cornus
Cornus florida,Cornus
Cornus foemina-type,Cornus
Cornus mas,Cornus
Cornus mas/C. sanguinea,Cornus
Cornus mas/C. suecica,Cornus
Cornus mas-type,Cornus
Cornus obliqua-type,Cornus
Cornus racemosa,Cornus
Cornus rugosa,Cornus
Cornus sanguinea,Cornus
Cornus sanguinea-type,Cornus
Cornus sericea,Cornus
Cornus sericea-type,Cornus
Cornus stockii,Cornus
Cornus stolonifera,Cornus
Cornus stolonifera-type,Cornus
Cornus subg. Afrocrania,Cornus
Cornus subg. Arctocrania,Cornus
Cornus subg. Chamaepericlymenum,Cornus
Cornus subg. Cornus,Cornus
Cornus subg. Cynoxylon,Cornus
Cornus subg. Kraniopsis,Cornus
Cornus subg. Mesomora,Cornus
Cornus subg. Thelycrania,Cornus
Cornus suecica,Cornus
Cornus suecica (thick wall),Cornus
Cornus suecica-type,Cornus
Cornus type,Cornus
Cornus unalaschkensis,Cornus
Cornus undiff.,Cornus
Cornus volkensii,Cornus
Cornus-type,Cornus
Corokia,Corokia
Corokia buddleioides,Corokia
Coronilla,Fabaceae
Coronilla emerus,Fabaceae
Coronilla undiff.,Fabaceae
Coronilla-type,Fabaceae
Correa,Rutaceae
Corrigiola,Caryophyllaceae
Corrigiola litoralis,Caryophyllaceae
Corrigiola litoralis-type,Caryophyllaceae
Corrigiola telephiifolia,Caryophyllaceae
Corrigiola telephiifolia-type,Caryophyllaceae
Corrigioleae,Caryophyllaceae
corrod,Delete
"Corroded, degraded, or thinned",Delete
Corsinipollenites aff. C. psilatus,Delete
Corsinipollenites collaris,Delete
Corsinipollenites oculusnoctis,Delete
Corsinipollenites psilatus,Delete
Corsinipollenites sp.,Delete
Cortaderia,Poaceae
Cortaderia sp.,Poaceae
Corthusa matthioli type,Primulaceae
Cortusa,Primulaceae
Cortusa matthioli,Primulaceae
Corydalis,Papaveraceae
Corydalis aurea,Papaveraceae
Corydalis cava,Papaveraceae
Corydalis cava-type,Papaveraceae
Corydalis claviculata,Papaveraceae
Corydalis intermedia,Papaveraceae
Corydalis lutea,Papaveraceae
Corydalis lutea-type,Papaveraceae
Corydalis pumila,Papaveraceae
Corydalis pumila-type,Papaveraceae
Corydalis solida,Papaveraceae
Corydalis solida-type,Papaveraceae
Corylaceae,Betulaceae
Coryloideae,Betulaceae
Coryloideae-type,Betulaceae
Coryloideae-type|clump|pollen|NISP,Betulaceae
Coryloideae-type|NA|pollen|NISP,Betulaceae
Corylopsis,Hamamelidaceae
Corylus,Corylus
corylus,Corylus
Corylus (large),Corylus
"Corylus (little, middle)",Corylus
Corylus americana,Corylus
Corylus avellana,Corylus
Corylus avellana-type,Corylus
Corylus cornuta,Corylus
Corylus mandshurica,Corylus
Corylus maxima,Corylus
Corylus undiff.,Corylus
Corylus/Myrica,Corylus
Corylus/Myrica undiff.,Corylus
Corylus/Ostrya,Corylus
Corylus-type,Corylus
Corylus-type undiff.,Corylus
Coryphantha,Cactaceae
Coryphantha cf. C. vivipara,Cactaceae
Coryphantha sp.,Cactaceae
Coryphantha strobiliformis,Cactaceae
Coryphantha tuberculosa,Cactaceae
Coryphantha vivipara,Cactaceae
Coscinodiscus,Delete
Cosentinia,Delete
Cosmarium,Delete
Cosmarium botrytis,Delete
"Cosmarium cf. C. botrytis (type 332F, HdV)",Delete
Cosmarium granatum,Delete
Cosmarium sp.,Delete
Costaceae,Costaceae
Costus,Costaceae
Cotinus,Cotinus
Cotinus coggygria,Cotinus
Cotinus-type,Cotinus
Cotoneaster,Rosaceae
Cotoneaster type,Rosaceae
Cotoneaster-type,Rosaceae
Cotula,Asteraceae
Cotula-type,Asteraceae
Couepia,Couepia
Couepia sp.,Couepia
Couratari,Couratari
Cousinia,Asteraceae
Cousinia-type,Asteraceae
Coussapoa,Urticaceae
Coussarea,Coussarea
Coussarea-type,Coussarea
Coussareeae,Rubiaceae
Coutarea,Coutarea
Coutoubea-type,Gentianaceae
Cowania,Rosaceae
Cowania mexicana,Rosaceae
Cowania neomexicana,Rosaceae
Cowania-type,Rosaceae
Crambe,Brassicaceae
Crambe-type,Brassicaceae
Crassiectoapertites aff. C. columbianus,Delete
Crassiectoapertites columbianus,Delete
Crassocephalum,Asteraceae
Crassocephalum montuosum-type,Asteraceae
Crassocephalum-type,Asteraceae
Crassocephalum-type (C. montuosum),Asteraceae
Crassoretitriletes,Delete
Crassoretitriletes vanraadshooveni,Delete
Crassula,Crassulaceae
Crassula aquatica,Crassulaceae
Crassula/Ficalhoa,Delete
Crassulaceae,Crassulaceae
Crassulaceae undiff.,Crassulaceae
Crassulaceae?,Crassulaceae
Crassula-type,Crassulaceae
Crataegus,Crataegus
Crataegus germanica,Crataegus
Crataegus monogyna,Crataegus
Crataegus monogyna-type,Crataegus
Crataegus sect. Mespilus,Crataegus
Crataegus sect. Mespilus-type,Crataegus
Crataegus/Sorbus,Crataegus
Crataegus-type,Crataegus
Craterispermeae,Rubiaceae
Craterispermum,Rubiaceae
Crateva,Crateva
Crateva adansonii,Crateva
Cratoxylum,Cratoxylum
Cratoxylum-type,Cratoxylum
Crenea,Lythraceae
Crenea-type,Lythraceae
Crepis,Asteraceae
Crepis aurea,Asteraceae
Crepis paludosa,Asteraceae
Crepis-type,Asteraceae
Crescentia,Crescentia
Cressa,Convolvulaceae
Cressa cretica,Convolvulaceae
Cressa-type,Convolvulaceae
Cressa-type (C. cretica),Convolvulaceae
Crinum,Amaryllidaceae
Cristaria,Malvaceae
Cristaria sp.,Malvaceae
Cristatella mucedo,Delete
Crithmum,Apiaceae
Crithmum maritimum,Apiaceae
Crithmum maritimum-type,Apiaceae
Crocus,Iridaceae
Crocus longiflorus,Iridaceae
Crocus vernus,Iridaceae
Crop weeds,Delete
Crossandra,Acanthaceae
Crossopetalum,Celastraceae
Crossopterygeae,Rubiaceae
Crossopteryx,Rubiaceae
Crossopteryx-type,Rubiaceae
Crossosoma,Crossosomataceae
Crossosoma bigelovii,Crossosomataceae
Crossosomataceae,Crossosomataceae
Crossosomatales,Crossosomatales
Crotalaria,Fabaceae
Crotalaria-type,Fabaceae
Crotalarieae,Fabaceae
Croton,Euphorbiaceae
Croton bogotanus,Euphorbiaceae
Croton cf. C. fruticulosus,Euphorbiaceae
Croton cf. C. pottsii,Euphorbiaceae
Croton comp.,Euphorbiaceae
Croton dioicus,Euphorbiaceae
Croton pottsii,Euphorbiaceae
Croton sect. Julocroton,Euphorbiaceae
Croton sonorae,Euphorbiaceae
Croton sp.,Euphorbiaceae
Croton tinctorius,Euphorbiaceae
Croton undiff.,Euphorbiaceae
Croton-type,Euphorbiaceae
Croton-type I,Euphorbiaceae
Croton-type II,Euphorbiaceae
Croton-type III,Euphorbiaceae
Crototricolpites cf. C. annemariae,Delete
Crozophora,Euphorbiaceae
Cruciferae,Brassicaceae
cruciferae,Brassicaceae
Cruciferae undiff.,Brassicaceae
Cruciferae-type,Brassicaceae
Cruciferaeÿ,Brassicaceae
Cruciferea,Brassicaceae
Crudia,Crudia
Crudia amazonica,Crudia
Crudia gabonensis,Crudia
Crudia zenkeri,Crudia
Crudia-type,Crudia
Crudia-type (C. gabonensis),Crudia
Crudia-type (C. zenkeri),Crudia
Crumpled or broken,Delete
Crupina,Asteraceae
Crupina-type,Asteraceae
Crusea,Rubiaceae
Crustacea,Delete
Cryosophila,Cryosophila
Cryptangieae,Cyperaceae
Cryptantha,Boraginaceae
Cryptantha ambigua,Boraginaceae
Cryptantha barbigera,Boraginaceae
Cryptantha cf. C. cinerea,Boraginaceae
Cryptantha cf. C. torreyana,Boraginaceae
Cryptantha cinerea,Boraginaceae
Cryptantha circumscissa,Boraginaceae
Cryptantha diffusa,Boraginaceae
Cryptantha flava-type,Boraginaceae
Cryptantha maritima,Boraginaceae
Cryptantha pterocarya,Boraginaceae
Cryptantha sp.,Boraginaceae
Cryptantha torreyana,Boraginaceae
Cryptantha watsonii,Boraginaceae
Cryptocarpus,Nyctaginaceae
Cryptogramma,Delete
Cryptogramma acrostichoides/C. stelleri,Delete
Cryptogramma cf. C. stelleri,Delete
Cryptogramma crispa,Delete
Cryptogramma-type,Delete
Cryptomeria,Cryptomeria
Cryptomeria japonica,Cryptomeria
Cryptomeria-type,Cryptomeria
Cryptosepalum,Fabaceae
Cryptosepalum/Tamarindus,Fabaceae
Ctenitis,Delete
Ctenitis-type,Delete
Ctenolophonidites suigeneris,Delete
Cucarbitaeeae,Cucurbitaceae
Cucumis,Cucurbitaceae
Cucumis melo,Cucurbitaceae
Cucumis sativus,Cucurbitaceae
Cucumis sp.,Cucurbitaceae
Cucurbita,Cucurbitaceae
Cucurbita maxima,Cucurbitaceae
Cucurbita pepo,Cucurbitaceae
Cucurbita sp.,Cucurbitaceae
Cucurbitaceae,Cucurbitaceae
Cucurbitaceae (type 1),Cucurbitaceae
Cucurbitaceae cf. Lagenaria,Cucurbitaceae
Cucurbitaceae undiff.,Cucurbitaceae
Cucurbitales,Cucurbitales
Culcita,Delete
Culcita coniifolia-type,Delete
Culcita dubia,Delete
Cumulopuntia,Cactaceae
Cumulopuntia boliviana,Cactaceae
Cumulopuntia sp.,Cactaceae
Cumulopuntia sphaerica,Cactaceae
Cunninghamia,Cunninghamia
Cunoniaceae,Cunoniaceae
Cunoniaceae (dicolpate),Cunoniaceae
Cunoniaceae (tricolpate),Cunoniaceae
"Cunoniaceae (tricolporate, very fine reticulate, 12 µm, cf. Weinmannia)",Weinmannia
Cunoniaceae cf. Weinmannia,Weinmannia
Cunoniaceae undiff.,Cunoniaceae
Cupania,Cupania
Cupania (type 1),Cupania
Cupania (type 2),Cupania
Cupania (type 3),Cupania
Cupaniopsis,Cupaniopsis
Cupaniopsis comp.,Cupaniopsis
Cuphea,Lythraceae
Cuphea cf. C. ingrata,Lythraceae
Cuphea cf. C. urbaniana,Lythraceae
Cupressaceae,Cupressaceae
Cupressaceae cf. Calocedrus,Cupressaceae
Cupressaceae cf. Juniperus communis,Juniperus
Cupressaceae cf. Sequoiadendron,Cupressaceae
Cupressaceae cf. Thuja occidentalis,Thuja
Cupressaceae undiff.,Cupressaceae
Cupressaceae/Taxaceae,Cupressaceae
Cupressaceae/Taxaceae undiff.,Cupressaceae
Cupressaceae/Taxodiaceae,Cupressaceae
Cupressaceae/Taxodiaceae undiff.,Cupressaceae
Cupressaceae|pollen|NISP,Cupressaceae
Cupressaceae|stomate|NISP,Delete
Cupressaceae-Stomata,Delete
Cupressaceae-type,Cupressaceae
Cupressus,Cupressus
Cupressus-type,Cupressus
Cupuliferoidetes?,Delete
Curatella,Dilleniaceae
Curatella americana,Dilleniaceae
Curatella-type,Dilleniaceae
Curculigo,Hypoxidaceae
Curculigo pilosa,Hypoxidaceae
Cuscuta,Convolvulaceae
Cuscuta epithymum,Convolvulaceae
Cuscuta europaea,Convolvulaceae
Cuscuta europaea-type,Convolvulaceae
Cuscuta gronovii,Convolvulaceae
Cuscuta gronovii-type,Convolvulaceae
Cuscuta lupuliformis,Convolvulaceae
Cuscuta salina,Delete
Cuscuta-type,Convolvulaceae
Cussonia,Cussonia
Cussonia arborea,Cussonia
Cussonia barteri,Cussonia
Cussonia cf. C. arborea,Cussonia
Cussonia cf. C. barteri,Cussonia
Cussonia-type,Cussonia
Cuviera,Rubiaceae
Cyanea,Campanulaceae
Cyanobacteria,Delete
Cyanobacteria (large),Delete
Cyanobacteria (small),Delete
Cyanophyceae,Delete
Cyanus,Asteraceae
Cyanus mollis,Asteraceae
Cyanus mollis-type,Asteraceae
Cyanus triumfettii,Asteraceae
Cyanus triumfettii-type,Asteraceae
Cyanus-type,Asteraceae
Cyathea,Delete
Cyathea (25 µm),Delete
Cyathea (35 µm),Delete
Cyathea (baculate),Delete
Cyathea (Cnemidaria sensu stricto),Delete
Cyathea (fine verrucate),Delete
"Cyathea (monolete, verrucate)",Delete
Cyathea (psilate),Delete
Cyathea (rugulate),Delete
Cyathea (scabrate-verrucate),Delete
"Cyathea (trilete, psilate)",Delete
"Cyathea (trilete, verrucate)",Delete
Cyathea (type I),Delete
Cyathea (type II),Delete
Cyathea (type III),Delete
Cyathea (type IV),Delete
Cyathea (verrucate),Delete
Cyathea cf. C. delgadii,Delete
Cyathea comp.,Delete
Cyathea conjugata,Delete
Cyathea conjugata-type,Delete
Cyathea frigida-type,Delete
Cyathea horrida,Delete
Cyathea horrida-type,Delete
Cyathea undiff.,Delete
Cyathea|perine|NISP,Delete
Cyathea|spore|NISP,Delete
Cyatheaceae,Delete
Cyatheaceae (fine verrucate),Delete
Cyatheaceae (perispore),Delete
Cyatheaceae (psilate),Delete
Cyatheaceae (verrucate),Delete
Cyatheaceae cf. Alsophila,Delete
Cyatheaceae cf. Cyathea (striate),Delete
Cyatheaceae undiff.,Delete
Cyathea-type,Delete
Cyathea-type (psilate),Delete
Cyathea-type (verrucate),Delete
Cyathidites congoensis,Delete
Cyathidites minor,Delete
Cyathidites sp.,Delete
Cyathogyne,Phyllanthaceae
Cyathula,Amaranthaceae
Cyathula orthacantha,Amaranthaceae
Cyathula-type,Amaranthaceae
Cyathula-type (C. orthacantha),Amaranthaceae
Cybianthus,Cybianthus
Cybianthus-type,Cybianthus
Cycadaceae,Cycadaceae
Cycadaceae-type,Delete
Cycadophyta,Delete
Cycas,Delete
Cycas revoluta spike,Delete
Cycas revoluta suspension,Delete
Cyclachaena,Asteraceae
Cyclachaena xanthiifolia,Asteraceae
Cyclachaena xanthiifolia-type,Asteraceae
Cyclamen,Primulaceae
Cyclamen hederifolium,Primulaceae
Cyclamen purpurascens,Primulaceae
Cyclanthaceae,Cyclanthaceae
Cyclobalanopsis,Cyclobalanopsis
Cyclobalanopsis glauca,Cyclobalanopsis
Cyclocarya,Cyclocarya
Cycloloma,Amaranthaceae
Cycloloma atriplicifolium,Amaranthaceae
Cyclopeltis-type,Delete
Cyclophyllum,Cyclophyllum
Cyclophyllum barbatum,Cyclophyllum
Cyclosorus-type,Delete
Cyclusphaera scabrata,Delete
Cyclusphaera? sp.,Delete
Cydista,Bignoniaceae
Cydista cf. C. aequinoctialis,Bignoniaceae
Cydista cf. C. heterophylla,Bignoniaceae
Cydista-type,Bignoniaceae
Cylindropuntia,Cactaceae
Cylindropuntia acanthocarpa,Cactaceae
Cylindropuntia bigelovii,Cactaceae
Cylindropuntia cf. C. bigelovii,Cactaceae
Cylindropuntia cf. C. whipplei,Cactaceae
Cylindropuntia fulgida,Cactaceae
Cylindropuntia imbricata,Cactaceae
Cylindropuntia leptocaulis,Cactaceae
Cylindropuntia sp.,Cactaceae
Cylindropuntia whipplei,Cactaceae
Cymatiosphaera,Delete
Cymatiosphaera (type HdV-116),Delete
Cymatiosphaera globulosa,Delete
Cymbaria,Orobanchaceae
Cymbaria daurica,Orobanchaceae
Cynoctonum,Apocynaceae
Cynodendron,Sapotaceae
Cynoglossum,Boraginaceae
Cynoglossum creticum,Boraginaceae
Cynoglossum creticum-type,Boraginaceae
Cynoglossum officinale-type,Boraginaceae
Cynoglossum-type,Boraginaceae
Cynometra,Cynometra
Cynometra-type,Cynometra
Cyperaceae,Cyperaceae
cyperaceae,Cyperaceae
Cyperaceae (<50 µm),Cyperaceae
Cyperaceae (>50 µm),Cyperaceae
Cyperaceae (20 µm),Cyperaceae
Cyperaceae (25 µm),Cyperaceae
Cyperaceae (27 µm),Cyperaceae
Cyperaceae (29 µm),Cyperaceae
Cyperaceae (31 µm),Cyperaceae
Cyperaceae (38 µm),Cyperaceae
"Cyperaceae (globose, <20 µm)",Cyperaceae
Cyperaceae (inaperturate),Cyperaceae
Cyperaceae (periporate),Cyperaceae
Cyperaceae (reticulate),Cyperaceae
Cyperaceae (type 1),Cyperaceae
Cyperaceae (type 2),Cyperaceae
Cyperaceae (type 3),Cyperaceae
Cyperaceae 1,Cyperaceae
Cyperaceae 2,Cyperaceae
Cyperaceae cf. Rhynchospora alba,Delete
Cyperaceae incertae sedis,Cyperaceae
Cyperaceae pro parte,Cyperaceae
Cyperaceae undiff.,Cyperaceae
Cyperaceae|clump|pollen|NISP,Cyperaceae
Cyperaceae|NA|pollen|NISP,Cyperaceae
Cyperaceae-clumps,Cyperaceae
Cypereae,Cyperaceae
Cypereceae,Cyperaceae
Cyperoideae,Cyperaceae
Cyperus,Cyperaceae
Cyperus (type 1),Cyperaceae
Cyperus (type 2),Cyperaceae
Cyperus articulatus-type,Cyperaceae
Cyperus brevifolius,Cyperaceae
Cyperus capitatus,Cyperaceae
Cyperus cf. C. congestus/C. odoratus,Cyperaceae
Cyperus cf. C. ustulatus,Cyperaceae
Cyperus congestus,Cyperaceae
Cyperus croceus-type,Cyperaceae
Cyperus cyperinus,Cyperaceae
Cyperus longus-type,Cyperaceae
Cyperus odoratus,Cyperaceae
Cyperus odoratus-type,Cyperaceae
Cyperus polystachyos,Cyperaceae
Cyperus sp.,Cyperaceae
Cyperus strigosus-type,Cyperaceae
Cyperus undiff.,Cyperaceae
Cyperus ustulatus,Cyperaceae
Cyperus-type,Cyperaceae
Cyphoderia ampulla,Delete
Cyphomeris,Nyctaginaceae
Cyphomeris gypsophiloides,Nyctaginaceae
Cyphostemma,Vitaceae
Cyphostemma mappia,Vitaceae
Cyphostemma-type,Vitaceae
Cyrilla,Cyrilla
Cyrilla racemiflora,Cyrilla
